Monthly Rent,Bedrooms,Bathrooms,Distance from UCSB,Address,Latitude,Longitude
3255,0,1,1.8,"100 Baldwin Dr, Unit 107, Goleta, CA",34.4261,-119.8665
3240,0,1,1.8,"100 Baldwin Dr, Unit 115, Goleta, CA",34.4261,-119.8665
3310,1,1,1.8,"100 Baldwin Dr, Unit 205, Goleta, CA",34.4261,-119.8665
3310,1,1,1.8,"100 Baldwin Dr, Unit 207, Goleta, CA",34.4261,-119.8665
3770,1,1,1.8,"100 Baldwin Dr, Unit 203, Goleta, CA",34.4261,-119.8665
3620,1,1,1.8,"100 Baldwin Dr, Unit 306, Goleta, CA",34.4261,-119.8665
3420,1,1,1.8,"100 Baldwin Dr, Unit 218, Goleta, CA",34.4261,-119.8665
4485,2,2,1.8,"100 Baldwin Dr, Unit 203, Goleta, CA",34.4261,-119.8665
4585,2,2,1.8,"100 Baldwin Dr, Unit 303, Goleta, CA",34.4261,-119.8665
4650,2,2,1.8,"100 Baldwin Dr, Unit 202, Goleta, CA",34.4261,-119.8665
4695,2,2,1.8,"100 Baldwin Dr, Unit 301, Goleta, CA",34.4261,-119.8665
5550,3,2,1.8,"100 Baldwin Dr, Unit 102, Goleta, CA",34.4261,-119.8665
1400,1,1,0.9,"860 Camino Del Sur St. 10, Isla Vista, CA",34.4105,-119.8635
2995,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
3295,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
6100,2,2,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
9900,4,3,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
3395,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
3450,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
6100,2,2,0.3,"6509 Pardall Rd, Goleta, CA 93117",34.412971,-119.854229
6395,2,2,0.3,"6509 Pardall Rd, Goleta, CA 93117",34.412971,-119.854229
1550,0,1,0.8,"6563 Trigo Road #101 Goleta, CA 93117",34.410913,-119.857439
1550,0,1,0.8,"6563 Trigo Road #102 Goleta, CA 93117",34.410913,-119.857439
3300,0,1,0.8,"6563 Trigo Road #103 Goleta, CA 93117",34.410913,-119.857439
3250,0,1,0.8,"6563 Trigo Road #201 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #202 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #203 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #204 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #205 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #206 Goleta, CA 93117",34.410913,-119.857439
3250,0,1,0.8,"6563 Trigo Road #207 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #208 Goleta, CA 93117",34.410913,-119.857439
1850,1,1,0.9,"6588 Trigo Road #4 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #1 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #6 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #7 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #8 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #9 Goleta, CA, 93117",34.411322,-119.85813
1515,2,1,0.9,"6588 Trigo Road #10 Goleta, CA, 93117",34.411322,-119.85813
1385,2,1,0.9,"6588 Trigo Road #2 Goleta, CA, 93117",34.411322,-119.85813
1485,2,1,0.9,"6588 Trigo Road #5 Goleta, CA, 93117",34.411322,-119.85813
1575,2,2,0.9,"6588 Trigo Road #8 Goleta, CA, 93117",34.411322,-119.85813
1535,2,1,0.9,"6598 Trigo Road #10 Goleta, CA, 93117",34.411302,-119.858455
1535,2,1,0.9,"6598 Trigo Road #3 Goleta, CA, 93117",34.411302,-119.858455
1400,2,1,0.9,"6598 Trigo Road #5 Goleta, CA, 93117",34.411302,-119.858455
1450,2,2,0.8,"6640 Abrego Rd #10 Goleta, CA, 93117",34.4144802,-119.860266
1375,2,1,0.8,"6640 Abrego Rd #7 Goleta, CA, 93117",34.4144802,-119.860266
1425,2,1,0.8,"6640 Abrego Rd #8 Goleta, CA, 93117",34.4144802,-119.860266
1425,3,2,0.8,"6563 Trigo Road #301 Goleta, CA 93117",34.41111579,-119.8575694
1425,3,2,0.8,"6563 Trigo Road #302 Goleta, CA 93117",34.41111579,-119.8575694
1425,3,2,0.8,"6640 Abrego Rd #1 Goleta, CA, 93117",34.41111579,-119.8575694
1395,3,2,0.8,"6640 Abrego Rd #3 Goleta, CA, 93117",34.41111579,-119.8575694
1600,3,2,0.8,"6640 Abrego Rd #4 Goleta, CA, 93117",34.41111579,-119.8575694
1375,3,2,0.8,"6640 Abrego Rd #6 Goleta, CA, 93117",34.41111579,-119.8575694
5000,3,2,0.4,"6502 Sabado Tarde Rd #1, Goleta, CA 93117",34.41070641,-119.8537784
4297,2,2,0.9,"893 Camino Del Sur #A, Goleta, CA 93117",34.41322024,-119.8627697
4297,2,2,1,"6722 Sueno Rd #A, Goleta, CA 93117",34.41312437,-119.8635876
4800,2,2,1,"6716 Sueno Rd #B Goleta, CA 93117",34.41318747,119.8632144
4800,2,2,1,"6708 Sueno Rd #A, Isla Vista, CA 93117",34.41318747,119.8632144
17500,7,3.5,0.4,"6555 Segovia Rd, Goleta, CA 93117",34.41449689,-119.8564018
8490,3,2,1.3,"6793 Pasado Rd, Goleta, CA 93117",34.41207008,-119.8665905
13250,5,3,1.2,"6774 Sueno Rd, Isla Vista, CA 93117",34.4141452,-119.865329
6400,2,2,0.7,"6591 Cordoba Rd, Isla Vista, CA 93117",34.41409463,-119.8583589
11000,4,2,1.4,"6880 Pasado Rd, Goleta, CA 93117",34.41299946,-119.8693585
9400,4,4,1.3,"6766 Del Playa Dr, Goleta, CA 93117",34.41282243,-119.8687577
3500,0,1,0.5,"939 Embarcadero del Mar #A, Goleta, CA 93117",34.41242532,-119.8573357
3500,1,1,0.38,"760 Embarcadero del Norte, Goleta, CA 93117",34.41641574,-119.8551189
2850,1,1,0.54,"910 Camino Pescadero, Goleta, CA 93117",34.412854,-119.858245
3300,0,1,0.54,"6578 Trigo Rd Unit C, Goleta, CA 93117",34.411312,-119.857693
3300,0,1,0.54,"6578 Trigo Rd Unit F, Goleta, CA 93117",34.411312,-119.857693
2900,1,1,0.54,"6578 Trigo Rd Unit D, Goleta, CA 93117",34.411312,-119.857693
2900,1,1,0.54,"6578 Trigo Rd Unit E, Goleta, CA 93117",34.411312,-119.857693
1800,1,1,0.7,"6661 Berkshire Terr, Isla Vista, CA 93117",34.416073,-119.86073
8100,3,3,0.99,"938 Camino Corto, Isla Vista, CA 93117",34.412117,-119.866167
2800,1,1,0.48,"6556 El Nido Ln Isla Vista, CA 93117",34.409948,-119.855754
4100,2,2,0.99,"820 Camino Corto Goleta, CA 93117",34.4147034,-119.8662717
13100,5,3,0.88,"6730 Sabado Tarde Rd, Isla Vista, CA 93117",34.4106531,-119.8637672
1850,0,1,0.74,"6681 Berkshire Terr, Isla Vista, CA 93117",34.4159371,-119.8616111
3340,1,1,0.77,"880 Camino del Sur, Goleta, CA 93117",34.4133283,-119.862333
6000,2,2,0.77,"880 Camino del Sur, Goleta, CA 93117",34.4133283,-119.862333
6000,3,2,0.77,"880 Camino del Sur, Goleta, CA 93117",34.4133283,-119.862333
4400,2,1,0.59,"6592 Sabado Tarde Rd Isla Vista, CA 93117",34.4106391,-119.8583983
5300,2,1,0.77,"6675 Sabado Tarde Rd Goleta, CA 93117",34.4102664,-119.8616177
1800,1,1,0.72,"6671 Berkshire Terrace Unit 03, Isla Vista, CA 93117",34.4159595,-119.861233
4600,2,1.5,0.66,"6643 Abrego Rd, Isla Vista, CA 93117",34.4132675,-119.8604213
2250,1,1,0.55,"6567 Sabado Tarde Rd Isla Vista, CA 93117",34.4102677,-119.8574039
3100,1,1,0.58,"6582 Sabado Tarde Rd Isla Vista, CA 93117",34.4106178,-119.8582305
7600,3,2,0.67,"6613 Del Playa Dr Goleta, CA 93117",34.4092796,-119.8593265
2500,1,1,0.63,"6631 Picasso Rd Goleta, CA 93117",34.4148929,-119.8600288
2700,1,1,0.55,"6595 Cordoba Rd Goleta, CA 93117",34.41377639,-119.8585147
4800,0,1,0.31,"6510 Picasso Rd Unit H, Isla Vista, CA 93117",34.4152969,-119.8537881
4800,1,1,0.31,"6510 Picasso Rd Unit A, Isla Vista, CA 93117",34.4152969,-119.8537881
4800,1,1,0.31,"6510 Picasso Rd Unit G, Isla Vista, CA 93117",34.4152969,-119.8537881
4800,2,1,0.31,"6510 Picasso Rd Unit C, Isla Vista, CA 93117",34.4152969,-119.8537881
4800,2,1,0.31,"6510 Picasso Rd Unit I, Isla Vista, CA 93117",34.4152969,-119.8537881
2480,0,1,0.74,"6654 Del Playa Dr Isla Vista, CA 93117",34.41024023,-119.860931
13100,5,3,0.88,"6730 Sabado Tarde Rd Goleta, CA 93117",34.41149096,-119.8635418
1695,1,1,0.61,"6621 Abrego Rd Isla Vista, CA 93117",34.41388688,-119.859645
2800,2,1,0.3,"6512 Segovia Rd Isla Vista, CA 93117",34.41532671,-119.8538609
2800,1,1,0.61,"6621 Abrego Rd Isla Vista, CA 93117",34.4136815,-119.8596474
3000,2,1,0.61,"6621 Abrego Rd Isla Vista, CA 93117",34.4136815,-119.8596474
1985,0,1,0.58,"851 Camino Pescadero #21, Goleta, CA 93117",34.41499821,-119.8590472
3400,1,1,2.81,"7610 Hollister Ave UNIT 109, Goleta, CA 93117",34.4349865,-119.8933491
5200,3,2.5,1.57,"6598 Calle Koral, Goleta, CA 93117",34.43586649,-119.8575744
3250,0,1,1.99,"37 Colusa Ave #101, Goleta, CA 93117",34.4382428,-119.8717338
4000,1,1,2.33,"7181 Del Norte Dr, Goleta, CA 93117",34.43923382,-119.8791086
2650,1,1,2.35,"223 Ellwood Beach Dr APT 5, Goleta, CA 93117",34.42920474,-119.8858373
6500,3,2,0.59,"935 Camino Pescadero Unit B, Isla Vista, CA 93117",34.41267923,-119.8589267
9000,3,2,0.85,"6706 Del Playa Unit A, Isla Vista, CA 93117",34.41020234,-119.8628876
2690,0,1,0.68,"6647 Abrego Unit C Isla Vista, CA 93117",34.41345212,-119.8607209
6400,4,2,0.68,"6647 Abrego Unit B Isla Vista, CA 93117",34.41345212,-119.8607209
8900,4,2.5,0.68,"6647 Abrego Unit A Isla Vista, CA 93117",34.41345212,-119.8607209
3450,1,1,0.51,"759 Embarcadero del Mar, Unit B Goleta, CA 93117",34.41646272,-119.8574018
5500,2,1,0.51,"759 Embarcadero del Mar Unit H , Goleta, CA 93117",34.41646272,-119.8574018
2600,1,1,3.6,"4781 Avalon Ave Santa Barbara, CA 93110",34.43107358,-119.7889178
3450,1,1,0.53,"6587 Cervantes Rd Unit 13 Goleta, CA 93117",34.4162606,-119.8578123
3700,1,1,0.53,"6587 Cervantes Rd Unit 14 Goleta, CA 93117",34.4162606,-119.8578123
3450,1,1,0.53,"6587 Cervantes Rd Unit 1 Goleta, CA 93117",34.4162606,-119.8578123
10000,3,2,1,"6777 Del Playa Dr Unit 5, Isla Vista, CA 93117",34.4094889,-119.8657033
12000,4,2,1,"6777 Del Playa Dr Unit 1, Isla Vista, CA 93117",34.4094889,-119.8657033
12000,4,2,1,"6777 Del Playa Dr Unit 3, Isla Vista, CA 93117",34.4094889,-119.8657033
12000,4,2,1,"6777 Del Playa Dr Unit 4, Isla Vista, CA 93117",34.4094889,-119.8657033
13500,5,2,1,"6777 Del Playa Dr Unit 2, Isla Vista, CA 93117",34.4094889,-119.8657033
10250,3,1,0.56,"6561 Del Playa Dr Unit 2,Goleta, CA 93117",34.4091772,-119.8569559
9250,3,2,0.56,"6561 Del Playa Dr Unit 4,Goleta, CA 93117",34.4091772,-119.8569559
10250,3,2,0.56,"6561 Del Playa Dr Unit 3,Goleta, CA 93117",34.4091772,-119.8569559
10250,3,2,0.56,"6561 Del Playa Dr Unit 6, Goleta, CA 93117",34.4091772,-119.8569559
10250,3,2,0.56,"6561 Del Playa Dr Unit 7,Goleta, CA 93117",34.4091772,-119.8569559
7000,2,2,0.56,"6561 Del Playa Dr Unit 1,Goleta, CA 93117",34.4091772,-119.8569559
7000,0,1,0.56,"6561 Del Playa Dr Unit 5,Goleta, CA 93117",34.4091772,-119.8569559
1500,1,1,0.45,"6542 Sabado Tarde Rd, Goleta, CA 93117",34.41106983,-119.8555723
1250,1,1,3.56,"655 Walnut Park Ln, Santa Barbara, CA 93111",34.41127502,-119.8555723
3595,1,1,6.14,"3935 Foothill Rd Santa Barbara, CA 93110",34.45646867,-119.7521744
1500,1,1,1.16,"6816 Shadowbrook Dr Unit A Goleta, CA 93117",34.42453915,-119.8665241
1500,1,1,1.16,"6816 Shadowbrook Dr Unit B, Goleta, CA 93117",34.42453915,-119.8665241
2000,1,1,3.07,"5560 Campana Ct, Santa Barbara, CA 93111",34.45265481,-119.8183638
1450,1,1,1.23,"529 High Grove Ave, Goleta, CA 93117",34.42153339,-119.8689376
6000,3,2,3.1,"Camino Campana, Santa Barbara, CA 93111",34.45322102,-119.8180205
2400,1,1,4.82,"1120 Vereda Del Ciervo, Goleta, CA 93117",34.46452437,-119.9139363
1950,1,1,7.92,"1128 Harbor Hills Ln, Santa Barbara, CA 93109",34.41055774,-119.7088501
2995,1,1,0.41,"781 Embarcadero del Norte Unit 356, Goleta, CA 93117",34.4156195,-119.8558629
2995,1,1,0.41,"781 Embarcadero del Norte Unit 4, Goleta, CA 93117",34.4156195,-119.8558629
2395,1,1,0.41,"781 Embarcadero del Norte Unit 7, Goleta, CA 93117",34.4156195,-119.8558629
2895,1,1,0.41,"781 Embarcadero del Norte Unit 8, Goleta, CA 93117",34.4156195,-119.8558629
2895,1,1,0.41,"781 Embarcadero del Norte Unit 910, Goleta, CA 93117",34.4156195,-119.8558629
3095,1,1,0.41,"781 Embarcadero del Norte Unit 12, Goleta, CA 93117",34.4156195,-119.8558629
2897,1,1,0.41,"781 Embarcadero del Norte Unit 11, Goleta, CA 93117",34.4156195,-119.8558629
2795,1,1,0.41,"781 Embarcadero del Norte Unit 15, Goleta, CA 93117",34.4156195,-119.8558629
2795,1,1,0.41,"781 Embarcadero del Norte Unit 16, Goleta, CA 93117",34.4156195,-119.8558629
2795,1,1,0.41,"781 Embarcadero del Norte Unit 20, Goleta, CA 93117",34.4156195,-119.8558629
2795,1,1,0.41,"781 Embarcadero del Norte Unit 2124, Goleta, CA 93117",34.4156195,-119.8558629
4800,4,2,2.43,"Daytona Dr, Goleta, CA 93117",34.43441885,-119.8887025
1200,1,1,2.64,"6223 Cumberland Dr, Goleta, CA 93117",34.45354326,-119.8395418
2250,1,1,2.18,"6542 Covington Way Goleta, CA 93117",34.44560745,-119.8514847
1635,5,5.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1670,5,5.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1660,5,5.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1725,5,5.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1445,5,5.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1660,6,6.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1635,6,6.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1725,6,6.5,1.43,"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117",34.4198948,-119.872914
1200,1,1,2.64,"5218 Rhoads Ave, Santa Barbara, CA 93111",34.42858881,-119.8065849
1500,1,1,2.72,"San Ricardo Dr, Santa Barbara, CA 93111",34.43248249,-119.8058983
1200,1,1,2.35,"6478 Caroldale Ln, Goleta, CA 93117",34.44981021,-119.8486311
3400,2,1,0.36,"796 Embarcadero del Norte Goleta, CA 93117",34.4156952,-119.8549436
3100,1,1,1.04,"6815 Trigo Rd Goleta, CA 93117",34.41147932,-119.8669427
4200,2,1.5,0.5,"6580 Pardall Rd Isla Vista, CA 93117",34.41355387,-119.8577902
2500,1,1,0.57,"6581 Trigo Rd, Isla Vista, CA 93117",34.41133348,-119.8579909
2700,1,1,0.56,"6598 Madrid Rd Unit AB, Goleta, CA 93117",34.4126561,-119.8585212
2700,1,1,0.56,"6598 Madrid Rd Unit C , Goleta, CA 93117",34.4126561,-119.8585212
2700,1,1,0.55,"6594 Madrid Rd Unit ABC , Goleta, CA 93117",34.4126561,-119.8585212
2550,1,1,0.55,"6594 Segovia Rd, Isla Vista, CA 93117",34.4149557,-119.8585849
7900,3,2,0.68,"6619 Del Playa Dr, Isla Vista, CA 93117",34.41013899,-119.8593525
3500,1,1,0.35,"6517 El Greco Rd Unit 8, Goleta, CA 93117",34.4155331,-119.8546792
3500,2,1,0.35,"6517 El Greco Rd Unit 4, Goleta, CA 93117",34.4155331,-119.8546792
3300,1,1,0.69,"6656 Picasso Rd, Goleta Unit 457, CA 93117",34.415446,-119.8608968
5500,2,2,0.69,"6656 Picasso Rd, Goleta Unit 23910, CA 93117",34.415446,-119.8608968
3000,1,1,0.48,"6565 Segovia Rd, Goleta, CA 93117",34.4141703,-119.857368
1750,1,1,0.56,"6571 Sabado Tarde Rd Unit 6, Goleta, CA 93117",34.4102713,-119.8575742
4200,2,1.5,0.56,"6571 Sabado Tarde Rd Unit 7, Goleta, CA 93117",34.4102713,-119.8575742
4150,3,2,0.56,"6571 Sabado Tarde Rd Unit 3, Goleta, CA 93117",34.4102713,-119.8575742
2900,0,1,0.38,"6510 Sabado Tarde Rd Unit H, Goleta, CA 93117",34.4105936,-119.8542545
3500,1,1,0.38,"6510 Sabado Tarde Rd Unit A, Goleta, CA 93117",34.4105936,-119.8542545
3500,1,1,0.38,"6510 Sabado Tarde Rd Unit G, Goleta, CA 93117",34.4105936,-119.8542545
5500,2,1,0.38,"6510 Sabado Tarde Rd Unit C , Goleta, CA 93117",34.4105936,-119.8542545
5500,2,1,0.38,"6510 Sabado Tarde Rd Unit I , Goleta, CA 93117",34.4105936,-119.8542545
2600,1,1,0.61,"6621 Picasso Rd Unit 11, Goleta, CA 93117",34.4149141,-119.8594382
2995,2,1,0.61,"6621 Picasso Rd Unit 9, Goleta, CA 93117",34.4149141,-119.8594382
2650,1,1,0.4,"807 Embarcadero del Norte Unit 15, Goleta, CA 93117",34.4148798,-119.8559278
2650,1,1,0.4,"807 Embarcadero del Norte Unit 2414 Goleta, CA 93117",34.4148798,-119.8559278
2650,1,1,0.4,"807 Embarcadero del Norte Unit 181920, Goleta, CA 93117",34.4148798,-119.8559278
2600,1,1,0.76,"6691 Abrego Rd Goleta, CA  93117",34.4139848,-119.8622459
5200,2,1,0.7,"6659 Abrego Rd Unit AB,  Goleta, CA  93117",34.41464372,-119.8595563
3500,1,1,0.38,"760 Embercardero del Norte Unit 12, Goleta, CA 93117",34.41802061,-119.8555523
3500,1,1,0.38,"760 Embercardero del Norte Unit 78, Goleta, CA 93117",34.41802061,-119.8555523
3500,1,1,0.38,"760 Embercardero del Norte Unit 11, Goleta, CA 93117",34.41802061,-119.8555523
5600,3,2,1.2,"6640 Pasado Rd, Goleta, CA 93117",34.41963745,-119.8606547
1100,1,1,1.6,"6873 Fortuna Rd Goleta, CA 93117",34.41487441,-119.8690863
12500,5,2,1.6,"674 Sueno Road, Goleta,CA 93117",34.41616928,-119.8621164
13500,5,3,1.6,"6773 Estero Rd Goleta, CA 93117",34.424432,-119.8670642
16800,7,3.5,0.8,"6555 Segovia Rd Goleta, CA 93117",34.42535779,-119.8588856
1500,1,1,3.8,"280 Royal Linda Dr, Goleta, CA 93117",34.47496449,-119.892785
1150,1,1,0.7,"759 Embarcadero del Mar Isla Vista, CA 93117",34.42146986,-119.8563638
5400,2,2,1.1,"6531 Sabado Tarde Rd, Isla Vista, CA 93117",34.4145563,-119.8557007
1600,1,1,1.5,"6896 Willowgrove Dr Goleta, CA 93117",34.44205472,-119.8669459
876,1,1,0.8,"777 Camino Pescadero Isla Vista, CA 93117",34.42980742,-119.8607483
1852,0,1,0.9,"6503 Madrid Rd Apt 1 Isla Vista, CA 93117",34.4122252,-119.8538512
1852,0,1,0.9,"6503 Madrid Rd Apt 4 Isla Vista, CA 93117",34.4122252,-119.8538512
1852,0,1,0.9,"6503 Madrid Rd Apt 9 Isla Vista, CA 93117",34.4122252,-119.8538512
968,2,1,0.9,"6503 Madrid Rd Apt 2 Isla Vista, CA 93117",34.4122252,-119.8538512
968,2,1,0.9,"6503 Madrid Rd Apt 3 Isla Vista, CA 93117",34.4122252,-119.8538512
968,2,1,0.9,"6503 Madrid Rd Apt 5 Isla Vista, CA 93117",34.4122252,-119.8538512
968,2,1,0.9,"6503 Madrid Rd Apt 6 Isla Vista, CA 93117",34.4122252,-119.8538512
968,2,1,0.9,"6503 Madrid Rd Apt 7 Isla Vista, CA 93117",34.4122252,-119.8538512
968,2,1,0.9,"6503 Madrid Rd Apt 8 Isla Vista, CA 93117",34.4122252,-119.8538512
4995,2,2,1.4,"6740 Pasado Rd Goleta, CA 93117",34.4119425,-119.8641592
876,1,1,3.4,"732 Del Norte Dr, Goleta, CA 93117",34.44514861,-119.8206438